,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
31710,31711,1,21,2001,1,PB,F,26.0,25.0
31711,31712,1,21,2001,1,DM,M,37.0,43.0
31712,31713,1,21,2001,1,PB,M,29.0,44.0
31713,31714,1,21,2001,1,DO,M,34.0,53.0
31714,31715,1,21,2001,2,OT,M,20.0,27.0
31715,31716,1,21,2001,2,RM,M,17.0,11.0
31716,31717,1,21,2001,2,NL,M,33.0,121.0
31717,31718,1,21,2001,2,DM,F,34.0,44.0
31718,31719,1,21,2001,2,PB,M,26.0,42.0
31719,31720,1,21,2001,2,PB,M,27.0,41.0
31720,31721,1,21,2001,2,NL,F,31.0,158.0
31721,31722,1,21,2001,12,DO,M,34.0,54.0
31722,31723,1,21,2001,12,DM,F,37.0,49.0
31723,31724,1,21,2001,12,OT,F,20.0,21.0
31724,31725,1,21,2001,12,DM,M,36.0,43.0
31725,31726,1,21,2001,19,PB,M,26.0,27.0
31726,31727,1,21,2001,19,PB,M,26.0,42.0
31727,31728,1,21,2001,19,PP,M,20.0,11.0
31728,31729,1,21,2001,18,PB,F,26.0,29.0
31729,31730,1,21,2001,17,OT,M,21.0,23.0
31730,31731,1,21,2001,17,DM,M,37.0,49.0
31731,31732,1,21,2001,17,DM,M,36.0,48.0
31732,31733,1,21,2001,17,DM,F,37.0,43.0
31733,31734,1,21,2001,17,DM,F,37.0,41.0
31734,31735,1,21,2001,17,OT,F,20.0,26.0
31735,31736,1,21,2001,17,DM,F,34.0,41.0
31736,31737,1,21,2001,17,OT,M,20.0,20.0
31737,31738,1,21,2001,22,PB,M,28.0,36.0
31738,31739,1,21,2001,22,PB,M,27.0,40.0
31739,31740,1,21,2001,22,PB,F,26.0,32.0
31740,31741,1,21,2001,22,PB,F,26.0,25.0
31741,31742,1,21,2001,21,PB,F,25.0,27.0
31742,31743,1,21,2001,21,PB,F,27.0,30.0
31743,31744,1,21,2001,21,PB,F,25.0,27.0
31744,31745,1,21,2001,21,PB,F,27.0,29.0
31745,31746,1,21,2001,20,PB,F,27.0,29.0
31746,31747,1,21,2001,7,OT,M,20.0,26.0
31747,31748,1,21,2001,7,DO,M,34.0,47.0
31750,31751,1,22,2001,3,PB,M,25.0,40.0
31751,31752,1,22,2001,3,PB,F,25.0,30.0
31752,31753,1,22,2001,3,PB,M,26.0,40.0
31753,31754,1,22,2001,3,OT,M,21.0,25.0
31754,31755,1,22,2001,3,OT,F,21.0,25.0
31755,31756,1,22,2001,3,PB,M,26.0,29.0
31756,31757,1,22,2001,4,PB,M,27.0,36.0
31758,31759,1,22,2001,4,OT,M,20.0,22.0
31759,31760,1,22,2001,4,DM,M,36.0,48.0
31760,31761,1,22,2001,6,OT,M,21.0,24.0
31761,31762,1,22,2001,6,OT,F,20.0,26.0
31762,31763,1,22,2001,6,PM,F,20.0,27.0
31763,31764,1,22,2001,6,PB,F,26.0,29.0
31764,31765,1,22,2001,6,PB,F,25.0,30.0
31765,31766,1,22,2001,6,PB,M,27.0,35.0
31767,31768,1,22,2001,11,DM,M,36.0,45.0
31768,31769,1,22,2001,11,DM,M,37.0,54.0
31769,31770,1,22,2001,11,DM,M,37.0,46.0
31770,31771,1,22,2001,11,DM,F,34.0,41.0
31771,31772,1,22,2001,9,DM,M,35.0,42.0
31772,31773,1,22,2001,9,DM,F,37.0,44.0
31773,31774,1,22,2001,9,DM,M,36.0,48.0
31774,31775,1,22,2001,9,DM,M,36.0,49.0
31776,31777,1,22,2001,13,PB,F,26.0,31.0
31777,31778,1,22,2001,13,PB,F,25.0,36.0
31778,31779,1,22,2001,13,PP,M,21.0,12.0
31779,31780,1,22,2001,14,DM,F,36.0,36.0
31780,31781,1,22,2001,14,DM,F,36.0,41.0
31781,31782,1,22,2001,14,DM,M,37.0,47.0
31782,31783,1,22,2001,14,DM,F,36.0,42.0
31783,31784,1,22,2001,14,DM,F,36.0,40.0
31784,31785,1,22,2001,14,DM,M,36.0,50.0
31785,31786,1,22,2001,15,OT,M,21.0,22.0
31789,31790,3,3,2001,1,PB,M,27.0,36.0
31790,31791,3,3,2001,1,PB,F,24.0,25.0
31791,31792,3,3,2001,2,DM,F,35.0,45.0
31792,31793,3,3,2001,2,PB,M,26.0,41.0
31793,31794,3,3,2001,12,OT,M,21.0,24.0
31794,31795,3,3,2001,19,PB,M,28.0,40.0
31795,31796,3,3,2001,19,RM,F,17.0,16.0
31796,31797,3,3,2001,19,PB,M,27.0,27.0
31797,31798,3,3,2001,18,RM,F,17.0,17.0
31798,31799,3,3,2001,18,PB,M,26.0,40.0
31799,31800,3,3,2001,18,PB,F,27.0,33.0
31801,31802,3,3,2001,17,DM,F,38.0,58.0
31802,31803,3,3,2001,17,RM,M,16.0,8.0
31803,31804,3,3,2001,17,OT,M,21.0,27.0
31804,31805,3,3,2001,17,DM,F,37.0,41.0
31805,31806,3,3,2001,17,DM,F,36.0,40.0
31806,31807,3,3,2001,17,OT,F,20.0,25.0
31807,31808,3,3,2001,22,PB,M,26.0,31.0
31809,31810,3,3,2001,22,PB,M,27.0,43.0
31810,31811,3,3,2001,22,PB,F,26.0,27.0
31811,31812,3,3,2001,22,PB,M,26.0,35.0
31812,31813,3,3,2001,22,PB,M,37.0,41.0
31813,31814,3,3,2001,21,PB,F,26.0,35.0
31815,31816,3,3,2001,20,PB,F,26.0,30.0
31816,31817,3,3,2001,20,NL,M,30.0,109.0
31817,31818,3,3,2001,20,RM,M,17.0,11.0
31821,31822,3,4,2001,4,DM,F,37.0,45.0
