,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
15309,15310,1,10,1989,21,OT,M,21.0,24.0
15310,15311,1,10,1989,18,PM,M,20.0,19.0
15312,15313,1,10,1989,1,DM,M,35.0,41.0
15315,15316,1,10,1989,19,RM,M,17.0,10.0
15316,15317,1,10,1989,22,RM,M,16.0,10.0
15317,15318,1,10,1989,21,SH,F,29.0,61.0
15318,15319,1,10,1989,20,RF,F,17.0,16.0
15319,15320,1,10,1989,21,OT,F,21.0,27.0
15320,15321,1,10,1989,20,RM,M,17.0,10.0
15322,15323,1,10,1989,23,RM,M,17.0,12.0
15323,15324,1,10,1989,21,RM,M,17.0,12.0
15324,15325,1,10,1989,20,RM,M,17.0,11.0
15325,15326,1,10,1989,24,DM,F,37.0,42.0
15326,15327,1,10,1989,6,OT,F,21.0,29.0
15327,15328,1,10,1989,12,OL,F,20.0,29.0
15328,15329,1,10,1989,16,RM,M,17.0,13.0
15329,15330,1,10,1989,12,PE,M,21.0,22.0
15332,15333,1,10,1989,24,RM,M,16.0,11.0
15333,15334,1,10,1989,20,RF,F,17.0,10.0
15334,15335,1,10,1989,17,PE,F,20.0,21.0
15335,15336,1,10,1989,6,PE,M,18.0,21.0
15336,15337,1,10,1989,12,DM,M,36.0,41.0
15337,15338,1,10,1989,23,RM,M,17.0,11.0
15338,15339,1,10,1989,24,DM,M,36.0,46.0
15339,15340,1,10,1989,12,PE,F,19.0,26.0
15341,15342,1,10,1989,1,OL,M,22.0,34.0
15342,15343,1,10,1989,19,RM,F,17.0,11.0
15343,15344,1,10,1989,22,OT,M,22.0,23.0
15344,15345,1,10,1989,1,DM,M,36.0,48.0
15345,15346,1,10,1989,1,DM,F,37.0,41.0
15346,15347,1,10,1989,17,PE,M,20.0,19.0
15347,15348,1,10,1989,1,DM,M,37.0,48.0
15349,15350,1,10,1989,21,RM,M,17.0,8.0
15350,15351,1,10,1989,16,RM,M,18.0,14.0
15351,15352,1,10,1989,20,NL,F,34.0,155.0
15353,15354,1,10,1989,17,DO,M,36.0,57.0
15354,15355,1,10,1989,19,PM,F,21.0,28.0
