,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
62,63,8,19,1977,3,DM,M,35.0,40.0
63,64,8,19,1977,7,DM,M,37.0,48.0
64,65,8,19,1977,4,DM,F,34.0,29.0
65,66,8,19,1977,4,DM,F,35.0,46.0
66,67,8,19,1977,7,DM,M,35.0,36.0
67,68,8,19,1977,8,DO,F,32.0,52.0
68,69,8,19,1977,2,PF,M,15.0,8.0
69,70,8,19,1977,3,OX,F,21.0,22.0
70,71,8,19,1977,7,DM,F,36.0,35.0
73,74,8,19,1977,8,PF,M,12.0,7.0
74,75,8,19,1977,8,DM,F,32.0,22.0
77,78,8,19,1977,1,PF,M,16.0,9.0
78,79,8,19,1977,7,DM,F,34.0,42.0
80,81,8,19,1977,4,PF,F,14.0,8.0
81,82,8,19,1977,4,DM,F,35.0,41.0
82,83,8,20,1977,6,DM,F,37.0,37.0
83,84,8,20,1977,19,DM,F,35.0,43.0
84,85,8,20,1977,23,DM,F,35.0,41.0
85,86,8,20,1977,18,DM,F,33.0,40.0
86,87,8,20,1977,5,PF,F,11.0,9.0
87,88,8,20,1977,18,DM,F,35.0,45.0
88,89,8,20,1977,12,PP,F,20.0,15.0
89,90,8,20,1977,18,DM,M,35.0,29.0
91,92,8,20,1977,6,DM,M,35.0,39.0
93,94,8,20,1977,18,DM,F,36.0,43.0
94,95,8,20,1977,23,DM,M,38.0,46.0
95,96,8,20,1977,12,DM,M,36.0,41.0
96,97,8,20,1977,18,DM,M,36.0,41.0
97,98,8,20,1977,5,DM,M,38.0,40.0
98,99,8,20,1977,11,DM,M,37.0,45.0
100,101,8,20,1977,5,DM,F,35.0,46.0
101,102,8,20,1977,23,DM,F,35.0,40.0
102,103,8,20,1977,18,DM,F,35.0,30.0
104,105,8,20,1977,19,DM,M,35.0,39.0
108,109,8,20,1977,6,DM,M,35.0,34.0
110,111,8,20,1977,11,DM,F,37.0,42.0
111,112,8,20,1977,23,DM,M,37.0,42.0
112,113,8,20,1977,5,PF,F,13.0,8.0
115,116,8,21,1977,13,DM,F,37.0,31.0
145,146,8,21,1977,13,DM,F,36.0,40.0
156,157,9,11,1977,20,DM,M,36.0,37.0
157,158,9,11,1977,22,DM,M,36.0,48.0
160,161,9,11,1977,5,DM,M,37.0,42.0
161,162,9,11,1977,6,DM,F,39.0,45.0
162,163,9,11,1977,12,PP,F,21.0,16.0
163,164,9,11,1977,22,DM,F,36.0,36.0
166,167,9,11,1977,6,DM,M,36.0,42.0
167,168,9,11,1977,12,DM,M,36.0,44.0
169,170,9,11,1977,20,DM,F,36.0,41.0
172,173,9,11,1977,12,DM,F,36.0,40.0
173,174,9,11,1977,12,DM,M,37.0,34.0
174,175,9,11,1977,19,DM,M,33.0,40.0
