,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
21992,21993,1,11,1995,18,PF,F,16.0,7.0
21993,21994,1,11,1995,12,DO,M,36.0,47.0
21994,21995,1,11,1995,2,DO,M,36.0,51.0
21995,21996,1,11,1995,21,PF,F,14.0,7.0
21996,21997,1,11,1995,24,RM,M,15.0,10.0
21997,21998,1,11,1995,1,DM,M,38.0,46.0
21998,21999,1,11,1995,19,PF,F,15.0,8.0
21999,22000,1,11,1995,1,DM,F,37.0,45.0
22000,22001,1,11,1995,2,DO,M,36.0,41.0
22001,22002,1,11,1995,18,PF,F,16.0,8.0
22002,22003,1,11,1995,2,DM,M,37.0,41.0
22003,22004,1,11,1995,12,DM,F,37.0,37.0
22004,22005,1,11,1995,1,DM,M,37.0,49.0
22005,22006,1,11,1995,22,DM,F,37.0,39.0
22006,22007,1,11,1995,22,DM,F,36.0,33.0
22007,22008,1,11,1995,2,DO,M,38.0,52.0
22008,22009,1,11,1995,1,DM,M,37.0,44.0
22009,22010,1,11,1995,19,PF,M,16.0,9.0
22010,22011,1,11,1995,12,DM,F,36.0,41.0
22014,22015,1,12,1995,14,DM,M,38.0,47.0
22015,22016,1,12,1995,11,DM,M,38.0,47.0
22016,22017,1,12,1995,15,RM,F,16.0,9.0
22017,22018,1,12,1995,4,DM,F,36.0,39.0
22018,22019,1,12,1995,13,OL,M,21.0,24.0
22019,22020,1,12,1995,17,DM,M,36.0,44.0
22020,22021,1,12,1995,4,DM,M,37.0,43.0
22021,22022,1,12,1995,17,DM,M,36.0,54.0
22022,22023,1,12,1995,13,DM,F,34.0,34.0
22024,22025,1,12,1995,5,OL,F,21.0,19.0
22025,22026,1,12,1995,14,DM,M,37.0,51.0
22026,22027,1,12,1995,13,DM,M,36.0,47.0
22027,22028,1,12,1995,11,DM,M,39.0,48.0
22028,22029,1,12,1995,11,DM,F,37.0,41.0
22032,22033,1,13,1995,8,DO,M,36.0,51.0
22033,22034,1,13,1995,8,DO,F,36.0,48.0
22034,22035,1,13,1995,9,DM,M,35.0,44.0
22035,22036,1,13,1995,9,DM,F,37.0,37.0
22036,22037,1,13,1995,8,DM,F,37.0,42.0
22037,22038,1,13,1995,8,DM,M,36.0,47.0
22038,22039,1,13,1995,9,DM,M,37.0,43.0
22041,22042,2,4,1995,2,DM,F,36.0,45.0
22042,22043,2,4,1995,17,DM,M,37.0,48.0
22043,22044,2,4,1995,2,DM,M,37.0,46.0
22045,22046,2,4,1995,24,RM,F,15.0,10.0
22046,22047,2,4,1995,1,DO,M,35.0,33.0
22047,22048,2,4,1995,1,DM,F,36.0,40.0
22048,22049,2,4,1995,2,DO,M,58.0,51.0
22049,22050,2,4,1995,8,DO,F,37.0,61.0
22050,22051,2,4,1995,12,DM,F,36.0,46.0
22051,22052,2,4,1995,19,PF,F,15.0,9.0
22052,22053,2,4,1995,18,PF,F,15.0,9.0
22054,22055,2,4,1995,1,OL,F,20.0,25.0
22056,22057,2,4,1995,20,RM,F,13.0,11.0
22057,22058,2,4,1995,18,RM,F,16.0,12.0
22060,22061,2,4,1995,22,DM,F,36.0,36.0
22061,22062,2,4,1995,2,DO,M,37.0,52.0
22062,22063,2,4,1995,1,DM,F,37.0,53.0
22065,22066,2,4,1995,8,DM,M,36.0,48.0
22066,22067,2,4,1995,8,DM,M,38.0,48.0
22067,22068,2,4,1995,20,PF,M,11.0,9.0
22068,22069,2,4,1995,2,DO,M,37.0,62.0
22069,22070,2,4,1995,1,DM,M,38.0,45.0
22070,22071,2,4,1995,8,DM,M,36.0,49.0
22071,22072,2,4,1995,1,DM,M,38.0,46.0
22072,22073,2,4,1995,8,DM,F,37.0,45.0
22073,22074,2,4,1995,8,DM,M,35.0,45.0
22075,22076,2,4,1995,12,DM,F,36.0,43.0
22077,22078,2,5,1995,4,DM,M,36.0,44.0
22078,22079,2,5,1995,14,DM,M,38.0,48.0
22080,22081,2,5,1995,14,DM,M,37.0,52.0
22081,22082,2,5,1995,3,DM,F,35.0,41.0
22083,22084,2,5,1995,4,DM,M,37.0,49.0
22084,22085,2,5,1995,6,PF,F,16.0,9.0
22085,22086,2,5,1995,11,DM,M,37.0,50.0
22086,22087,2,5,1995,7,RM,M,17.0,8.0
22087,22088,2,5,1995,15,RM,F,17.0,13.0
22088,22089,2,5,1995,7,PE,M,22.0,20.0
22089,22090,2,5,1995,9,DM,M,36.0,43.0
22090,22091,2,5,1995,13,DM,M,37.0,54.0
22091,22092,2,5,1995,6,RM,M,17.0,10.0
22092,22093,2,5,1995,9,DM,M,36.0,47.0
22093,22094,2,5,1995,4,DM,M,36.0,47.0
22095,22096,2,5,1995,14,DM,F,37.0,45.0
22096,22097,2,5,1995,5,OL,F,21.0,20.0
22097,22098,2,5,1995,9,DM,M,37.0,45.0
22099,22100,2,5,1995,9,DM,F,38.0,39.0
22100,22101,2,5,1995,9,DM,F,37.0,41.0
22101,22102,2,5,1995,4,DM,F,35.0,43.0
22104,22105,3,4,1995,2,DM,F,37.0,49.0
22106,22107,3,4,1995,1,DO,M,36.0,39.0
22107,22108,3,4,1995,2,OL,M,21.0,24.0
22108,22109,3,4,1995,2,DM,M,37.0,46.0
22109,22110,3,4,1995,18,RM,F,17.0,18.0
22111,22112,3,4,1995,1,DM,F,37.0,43.0
22112,22113,3,4,1995,18,PF,F,17.0,9.0
22113,22114,3,4,1995,17,DM,F,38.0,47.0
22114,22115,3,4,1995,12,DM,F,37.0,40.0
22115,22116,3,4,1995,17,DM,M,37.0,57.0
22116,22117,3,4,1995,12,DM,F,37.0,45.0
22117,22118,3,4,1995,17,DM,M,37.0,47.0
22118,22119,3,4,1995,12,DM,F,35.0,23.0
22119,22120,3,4,1995,2,DO,M,37.0,54.0
22120,22121,3,4,1995,1,PF,M,16.0,7.0
22121,22122,3,4,1995,1,DM,F,34.0,22.0
22122,22123,3,4,1995,12,DM,M,34.0,24.0
22123,22124,3,4,1995,7,RM,M,17.0,10.0
22124,22125,3,4,1995,18,PF,F,16.0,10.0
22125,22126,3,4,1995,1,DM,M,37.0,48.0
22126,22127,3,4,1995,21,PF,F,16.0,8.0
22132,22133,3,5,1995,8,DO,F,36.0,27.0
22133,22134,3,5,1995,9,DM,F,37.0,46.0
22134,22135,3,5,1995,4,DM,M,37.0,50.0
22135,22136,3,5,1995,8,DO,M,36.0,26.0
22136,22137,3,5,1995,9,DO,M,34.0,50.0
22137,22138,3,5,1995,6,PF,F,16.0,9.0
22138,22139,3,5,1995,10,RM,F,17.0,16.0
22139,22140,3,5,1995,3,DM,F,37.0,42.0
22140,22141,3,5,1995,11,DM,F,35.0,36.0
22141,22142,3,5,1995,4,PF,F,14.0,5.0
22142,22143,3,5,1995,4,DM,F,38.0,45.0
22144,22145,3,5,1995,14,DM,M,37.0,51.0
22145,22146,3,5,1995,4,DM,M,36.0,42.0
22146,22147,3,5,1995,13,PM,M,36.0,49.0
22148,22149,3,5,1995,11,RM,F,18.0,14.0
22149,22150,3,5,1995,14,DM,F,36.0,35.0
22150,22151,3,5,1995,8,DO,F,36.0,53.0
22151,22152,3,5,1995,11,DM,M,38.0,47.0
22152,22153,3,5,1995,15,RM,F,16.0,16.0
22153,22154,3,5,1995,13,OL,F,22.0,24.0
22154,22155,3,5,1995,8,DM,M,36.0,49.0
22155,22156,3,5,1995,13,DM,F,37.0,53.0
22156,22157,3,5,1995,6,PP,M,23.0,16.0
22157,22158,3,5,1995,16,RM,F,17.0,13.0
22158,22159,3,5,1995,8,DM,F,35.0,39.0
22159,22160,3,5,1995,4,DM,F,37.0,40.0
22161,22162,3,5,1995,8,DM,F,37.0,46.0
22162,22163,3,5,1995,8,DM,M,37.0,45.0
22163,22164,4,1,1995,1,DM,M,37.0,48.0
22166,22167,4,1,1995,1,DM,M,37.0,45.0
22167,22168,4,1,1995,2,DM,M,36.0,48.0
22168,22169,4,1,1995,2,DO,F,37.0,46.0
22169,22170,4,1,1995,18,PF,F,38.0,9.0
22170,22171,4,1,1995,17,DM,M,38.0,53.0
22171,22172,4,1,1995,1,DM,F,37.0,50.0
22172,22173,4,1,1995,12,DM,M,36.0,32.0
22173,22174,4,1,1995,18,PF,F,16.0,9.0
22174,22175,4,1,1995,19,PF,F,16.0,10.0
22175,22176,4,1,1995,20,PF,M,16.0,9.0
22176,22177,4,1,1995,12,RM,M,17.0,9.0
22177,22178,4,1,1995,17,DM,F,16.0,10.0
22178,22179,4,1,1995,12,DM,F,37.0,43.0
22179,22180,4,1,1995,1,DO,M,36.0,48.0
22180,22181,4,1,1995,7,RM,F,17.0,21.0
22181,22182,4,1,1995,12,DM,F,37.0,43.0
22182,22183,4,1,1995,17,PF,F,15.0,7.0
22183,22184,4,1,1995,17,DM,M,37.0,55.0
22184,22185,4,1,1995,17,DM,M,37.0,49.0
22185,22186,4,1,1995,20,PF,F,16.0,8.0
22186,22187,4,1,1995,17,DM,M,38.0,56.0
22187,22188,4,1,1995,17,PF,M,17.0,9.0
22188,22189,4,1,1995,17,DM,F,37.0,45.0
22193,22194,4,2,1995,3,PP,M,22.0,21.0
22194,22195,4,2,1995,9,DO,F,37.0,38.0
22196,22197,4,2,1995,6,RM,M,17.0,13.0
22197,22198,4,2,1995,9,DM,F,37.0,42.0
22198,22199,4,2,1995,15,RM,M,16.0,9.0
22199,22200,4,2,1995,9,DO,M,38.0,55.0
22200,22201,4,2,1995,4,DM,M,37.0,44.0
22201,22202,4,2,1995,11,DM,F,36.0,49.0
22202,22203,4,2,1995,14,DM,F,36.0,51.0
22203,22204,4,2,1995,11,DM,M,38.0,55.0
22204,22205,4,2,1995,14,DM,M,39.0,49.0
22205,22206,4,2,1995,4,DM,M,37.0,31.0
22206,22207,4,2,1995,3,DM,M,36.0,46.0
22207,22208,4,2,1995,9,DM,M,36.0,46.0
22208,22209,4,2,1995,4,DM,M,37.0,30.0
22209,22210,4,2,1995,8,DO,F,36.0,53.0
22210,22211,4,2,1995,9,DM,F,36.0,44.0
22211,22212,4,2,1995,9,DM,M,35.0,46.0
22212,22213,4,2,1995,14,DM,F,37.0,48.0
22213,22214,4,2,1995,11,DM,M,36.0,49.0
22214,22215,4,2,1995,8,DM,M,35.0,52.0
22215,22216,4,2,1995,13,DM,F,36.0,50.0
22216,22217,4,2,1995,4,DM,F,37.0,51.0
22217,22218,4,2,1995,15,DM,F,36.0,37.0
22218,22219,4,2,1995,11,DM,M,34.0,33.0
22219,22220,4,2,1995,14,DM,M,37.0,49.0
22220,22221,4,2,1995,13,DM,F,36.0,45.0
22222,22223,4,2,1995,11,DM,F,35.0,47.0
22223,22224,4,2,1995,5,PP,M,22.0,21.0
22224,22225,4,2,1995,9,DM,M,36.0,46.0
22225,22226,4,2,1995,16,RM,F,17.0,17.0
22227,22228,4,29,1995,21,PP,M,21.0,20.0
22228,22229,4,29,1995,23,RM,F,16.0,21.0
22229,22230,4,29,1995,1,DM,M,36.0,47.0
22230,22231,4,29,1995,17,DM,F,34.0,46.0
22231,22232,4,29,1995,24,RM,M,16.0,14.0
22233,22234,4,29,1995,22,DM,M,36.0,38.0
22234,22235,4,29,1995,2,DO,M,36.0,55.0
22236,22237,4,29,1995,21,PP,F,21.0,20.0
22238,22239,4,29,1995,7,RM,F,17.0,20.0
22239,22240,4,29,1995,12,DM,F,37.0,43.0
22240,22241,4,29,1995,18,PF,M,16.0,9.0
22241,22242,4,29,1995,17,DM,F,37.0,52.0
22243,22244,4,29,1995,21,PF,M,16.0,11.0
22244,22245,4,29,1995,17,DM,M,37.0,57.0
22247,22248,4,29,1995,20,PP,M,20.0,21.0
22248,22249,4,29,1995,7,RM,M,17.0,11.0
22249,22250,4,29,1995,2,DM,F,36.0,48.0
22251,22252,4,29,1995,17,PF,M,16.0,9.0
22252,22253,4,29,1995,1,DO,M,35.0,50.0
22254,22255,4,30,1995,3,PP,M,22.0,20.0
22255,22256,4,30,1995,9,DO,M,39.0,55.0
22256,22257,4,30,1995,3,PP,F,24.0,22.0
22258,22259,4,30,1995,13,OT,F,21.0,23.0
22260,22261,4,30,1995,9,DM,F,37.0,45.0
22261,22262,4,30,1995,14,DM,F,37.0,49.0
22262,22263,4,30,1995,4,DM,M,36.0,51.0
22264,22265,4,30,1995,8,DO,M,37.0,57.0
22265,22266,4,30,1995,9,DM,M,37.0,46.0
22266,22267,4,30,1995,9,DO,F,38.0,56.0
22269,22270,4,30,1995,14,DM,F,37.0,40.0
22270,22271,4,30,1995,4,DM,F,48.0,47.0
22271,22272,4,30,1995,13,DM,F,39.0,44.0
22272,22273,4,30,1995,14,DM,M,37.0,53.0
22273,22274,4,30,1995,11,DM,F,31.0,45.0
22275,22276,4,30,1995,14,DM,M,35.0,23.0
22277,22278,4,30,1995,9,DM,F,37.0,46.0
22278,22279,4,30,1995,11,DM,M,36.0,47.0
22279,22280,4,30,1995,9,DM,F,37.0,40.0
22280,22281,4,30,1995,6,RM,F,17.0,14.0
22281,22282,4,30,1995,16,RM,F,17.0,18.0
22282,22283,4,30,1995,9,DM,M,35.0,44.0
22283,22284,4,30,1995,11,DM,M,36.0,48.0
22284,22285,4,30,1995,9,RX,M,20.0,20.0
22285,22286,4,30,1995,11,DM,M,37.0,43.0
22287,22288,4,30,1995,14,DM,F,35.0,35.0
22288,22289,4,30,1995,6,PF,M,16.0,9.0
22289,22290,4,30,1995,4,DM,M,38.0,42.0
22290,22291,4,30,1995,13,RM,M,16.0,9.0
22291,22292,4,30,1995,9,DM,F,37.0,54.0
22295,22296,6,7,1995,12,DM,F,37.0,47.0
22296,22297,6,7,1995,12,PP,F,22.0,17.0
22297,22298,6,7,1995,24,PE,M,21.0,19.0
22299,22300,6,7,1995,17,DM,F,37.0,50.0
22300,22301,6,7,1995,1,DM,F,38.0,50.0
22301,22302,6,7,1995,17,DM,F,36.0,44.0
22302,22303,6,7,1995,20,PF,M,20.0,10.0
22303,22304,6,7,1995,12,OL,F,20.0,29.0
22304,22305,6,7,1995,21,PF,F,16.0,9.0
22305,22306,6,7,1995,12,DM,F,37.0,44.0
22306,22307,6,7,1995,22,DM,M,37.0,47.0
22307,22308,6,7,1995,21,PP,M,22.0,16.0
22308,22309,6,7,1995,1,PP,F,23.0,20.0
22309,22310,6,7,1995,1,DO,F,37.0,55.0
22310,22311,6,7,1995,17,DM,M,38.0,57.0
22311,22312,6,7,1995,24,PE,F,21.0,18.0
22312,22313,6,7,1995,24,PE,M,21.0,23.0
22314,22315,6,7,1995,21,PP,F,22.0,24.0
22319,22320,6,8,1995,3,PP,F,21.0,9.0
22320,22321,6,8,1995,5,PM,F,21.0,31.0
22321,22322,6,8,1995,14,DM,M,35.0,23.0
22322,22323,6,8,1995,14,DM,M,38.0,54.0
22323,22324,6,8,1995,4,DM,M,35.0,30.0
22324,22325,6,8,1995,13,OL,M,21.0,34.0
22325,22326,6,8,1995,8,PP,M,21.0,15.0
22326,22327,6,8,1995,14,DM,F,36.0,22.0
22327,22328,6,8,1995,4,DM,M,37.0,53.0
22328,22329,6,8,1995,14,DM,F,37.0,52.0
22331,22332,6,8,1995,14,PP,F,20.0,18.0
22332,22333,6,8,1995,4,DM,F,35.0,25.0
22333,22334,6,8,1995,11,DM,F,36.0,21.0
22334,22335,6,8,1995,9,DM,F,36.0,42.0
22335,22336,6,8,1995,14,DM,M,37.0,41.0
22336,22337,6,8,1995,6,PF,F,16.0,10.0
22337,22338,6,8,1995,4,OL,M,21.0,27.0
22338,22339,6,8,1995,8,PP,M,22.0,21.0
22339,22340,6,8,1995,11,DM,F,35.0,19.0
22340,22341,6,8,1995,4,DM,F,36.0,51.0
22342,22343,6,8,1995,3,PP,F,23.0,22.0
22343,22344,6,8,1995,4,DM,F,36.0,13.0
22345,22346,6,8,1995,4,DM,M,37.0,44.0
22346,22347,6,8,1995,11,DM,F,36.0,45.0
22348,22349,6,8,1995,14,DM,M,38.0,39.0
22349,22350,6,8,1995,4,DM,M,38.0,49.0
22351,22352,6,8,1995,9,DM,M,36.0,46.0
22352,22353,6,8,1995,9,DM,M,37.0,47.0
22353,22354,6,8,1995,14,DM,M,37.0,41.0
22354,22355,6,8,1995,4,DM,F,34.0,35.0
22355,22356,6,8,1995,11,DM,M,37.0,50.0
22356,22357,6,8,1995,9,DM,F,37.0,38.0
22357,22358,6,8,1995,8,DM,M,37.0,51.0
22358,22359,6,8,1995,6,PF,F,16.0,9.0
22359,22360,6,8,1995,13,OL,F,20.0,29.0
22360,22361,6,8,1995,8,DO,F,37.0,54.0
22362,22363,6,27,1995,1,DM,M,38.0,48.0
22363,22364,6,27,1995,7,RM,M,18.0,10.0
22364,22365,6,27,1995,12,PP,M,22.0,18.0
22365,22366,6,27,1995,17,DM,F,38.0,56.0
22366,22367,6,27,1995,18,PF,F,17.0,10.0
22367,22368,6,27,1995,2,DM,M,37.0,44.0
22368,22369,6,27,1995,12,DM,F,34.0,18.0
22370,22371,6,27,1995,12,DM,M,35.0,22.0
22371,22372,6,27,1995,17,DM,M,38.0,39.0
22372,22373,6,27,1995,20,PP,M,22.0,18.0
22373,22374,6,27,1995,21,PP,F,21.0,20.0
22374,22375,6,27,1995,2,DM,F,35.0,27.0
22375,22376,6,27,1995,18,PP,F,23.0,22.0
22376,22377,6,27,1995,17,DM,F,37.0,26.0
22377,22378,6,27,1995,20,RM,F,17.0,13.0
22378,22379,6,27,1995,22,DM,M,36.0,49.0
22379,22380,6,27,1995,17,DM,M,38.0,37.0
22380,22381,6,27,1995,2,PP,M,22.0,21.0
22381,22382,6,27,1995,17,DM,M,36.0,41.0
22382,22383,6,27,1995,1,PP,F,22.0,18.0
22384,22385,6,27,1995,20,RM,M,17.0,11.0
22385,22386,6,27,1995,21,PP,M,23.0,19.0
22386,22387,6,27,1995,24,RM,M,19.0,12.0
22387,22388,6,27,1995,20,PP,F,23.0,17.0
22388,22389,6,27,1995,1,DO,M,36.0,49.0
22389,22390,6,27,1995,17,PF,F,16.0,9.0
22392,22393,6,28,1995,3,PP,F,23.0,21.0
22393,22394,6,28,1995,9,DM,F,37.0,43.0
22395,22396,6,28,1995,5,PM,F,21.0,27.0
22396,22397,6,28,1995,14,DM,F,37.0,45.0
22397,22398,6,28,1995,4,DM,M,37.0,36.0
22399,22400,6,28,1995,13,PP,M,22.0,16.0
22400,22401,6,28,1995,3,PP,M,23.0,19.0
22401,22402,6,28,1995,14,DM,M,37.0,45.0
22402,22403,6,28,1995,13,PP,M,19.0,15.0
22403,22404,6,28,1995,9,DM,F,36.0,21.0
22404,22405,6,28,1995,14,DM,M,36.0,41.0
22405,22406,6,28,1995,4,DM,F,38.0,46.0
22406,22407,6,28,1995,6,PF,F,16.0,5.0
22407,22408,6,28,1995,3,PP,F,22.0,17.0
22408,22409,6,28,1995,6,PF,M,14.0,8.0
22409,22410,6,28,1995,11,DM,F,35.0,46.0
22410,22411,6,28,1995,4,DM,M,36.0,46.0
22411,22412,6,28,1995,5,PP,M,22.0,16.0
22412,22413,6,28,1995,11,DM,F,36.0,28.0
22414,22415,6,28,1995,11,DM,F,37.0,31.0
22415,22416,6,28,1995,8,DM,F,37.0,48.0
22416,22417,6,28,1995,13,PP,F,22.0,22.0
22417,22418,6,28,1995,3,DM,F,36.0,40.0
22418,22419,6,28,1995,9,DM,M,35.0,25.0
22420,22421,6,28,1995,9,DM,M,36.0,47.0
22421,22422,6,28,1995,13,OT,F,22.0,32.0
22423,22424,6,28,1995,16,RM,F,17.0,15.0
22424,22425,6,28,1995,11,DM,F,36.0,38.0
22425,22426,6,28,1995,8,DM,M,36.0,50.0
22426,22427,6,28,1995,14,DM,M,37.0,51.0
22427,22428,6,28,1995,3,PP,F,23.0,24.0
22428,22429,6,28,1995,4,DM,F,35.0,40.0
22429,22430,6,28,1995,6,OL,F,20.0,35.0
22430,22431,6,28,1995,9,DM,F,36.0,42.0
22431,22432,6,28,1995,11,DM,M,36.0,47.0
22433,22434,7,20,1995,20,PP,M,23.0,17.0
22434,22435,7,20,1995,1,DM,F,35.0,35.0
22435,22436,7,20,1995,12,PP,F,21.0,19.0
22436,22437,7,20,1995,17,DM,M,33.0,42.0
22437,22438,7,20,1995,22,DM,M,37.0,49.0
22438,22439,7,20,1995,21,PF,F,16.0,12.0
22439,22440,7,20,1995,2,PP,F,19.0,15.0
22440,22441,7,20,1995,2,PP,F,19.0,17.0
22441,22442,7,20,1995,17,DM,F,32.0,45.0
22442,22443,7,20,1995,1,PH,M,26.0,42.0
22443,22444,7,20,1995,2,DM,F,31.0,37.0
22444,22445,7,20,1995,12,PP,F,21.0,11.0
22445,22446,7,20,1995,2,PP,M,21.0,19.0
22446,22447,7,20,1995,20,PM,F,21.0,23.0
22447,22448,7,20,1995,7,RM,M,17.0,12.0
22448,22449,7,20,1995,2,PP,F,19.0,9.0
22449,22450,7,20,1995,21,PP,F,21.0,18.0
22450,22451,7,20,1995,7,RM,F,15.0,9.0
22451,22452,7,20,1995,1,DO,M,34.0,31.0
22452,22453,7,20,1995,1,PP,M,22.0,22.0
22453,22454,7,20,1995,1,PH,F,23.0,29.0
22454,22455,7,20,1995,22,DM,M,37.0,50.0
22455,22456,7,20,1995,12,DM,F,35.0,43.0
22456,22457,7,20,1995,18,PP,F,22.0,22.0
22457,22458,7,20,1995,17,DM,F,39.0,50.0
22458,22459,7,20,1995,22,PP,F,23.0,22.0
22459,22460,7,20,1995,7,PP,M,22.0,17.0
22460,22461,7,20,1995,1,PP,M,21.0,20.0
22461,22462,7,20,1995,12,DM,M,33.0,31.0
22462,22463,7,20,1995,1,PP,F,20.0,19.0
22463,22464,7,20,1995,2,PP,F,20.0,15.0
22464,22465,7,20,1995,12,PP,F,20.0,13.0
22465,22466,7,20,1995,19,PF,F,16.0,10.0
22466,22467,7,20,1995,21,PF,F,15.0,8.0
22467,22468,7,20,1995,1,PP,M,22.0,13.0
22468,22469,7,20,1995,2,DO,F,33.0,24.0
22469,22470,7,20,1995,17,DM,M,34.0,46.0
22470,22471,7,20,1995,12,DM,F,32.0,31.0
22471,22472,7,20,1995,17,DM,M,34.0,56.0
22472,22473,7,20,1995,20,PP,M,24.0,23.0
22473,22474,7,20,1995,19,PP,M,20.0,16.0
22474,22475,7,20,1995,21,PP,F,24.0,21.0
22475,22476,7,20,1995,24,NL,F,31.0,149.0
22477,22478,7,21,1995,13,PP,M,21.0,20.0
22478,22479,7,21,1995,6,PF,M,15.0,10.0
22479,22480,7,21,1995,14,DM,M,30.0,40.0
22480,22481,7,21,1995,9,DO,M,38.0,55.0
22482,22483,7,21,1995,8,PP,F,24.0,16.0
22483,22484,7,21,1995,4,PF,F,16.0,9.0
22484,22485,7,21,1995,8,DO,M,40.0,55.0
22485,22486,7,21,1995,14,DM,M,39.0,52.0
22486,22487,7,21,1995,9,DO,F,37.0,56.0
22488,22489,7,21,1995,5,PF,F,17.0,7.0
22489,22490,7,21,1995,4,DM,M,38.0,43.0
22490,22491,7,21,1995,8,PP,M,23.0,9.0
22491,22492,7,21,1995,8,OT,F,22.0,28.0
22492,22493,7,21,1995,14,DM,F,34.0,47.0
22493,22494,7,21,1995,11,DM,F,36.0,20.0
22495,22496,7,21,1995,14,DM,M,37.0,48.0
